second_tier_authority,name,code,year,emissions_sector,emissions_sector_subsector,value,units
Scotland,Aberdeen City,S12000033,2016,Industry and Commercial,D Industrial And Commercial Other Fuels,94.3289215990292,kilotonnes
Scotland,Aberdeen City,S12000033,2016,Industry and Commercial,E Agriculture,5.3831013355152235,kilotonnes
Scotland,Aberdeen City,S12000033,2016,Domestic,F Domestic Electricity,117.56222118757958,kilotonnes
Scotland,Aberdeen City,S12000033,2016,Domestic,G Domestic Gas,259.8634683625147,kilotonnes
Scotland,Aberdeen City,S12000033,2016,Domestic,H Domestic Other Fuels,6.891960644014034,kilotonnes
Scotland,Aberdeen City,S12000033,2016,Transport,I Road Transport A Roads,144.19769763264463,kilotonnes
Scotland,Aberdeen City,S12000033,2016,Transport,J Road Transport Motorways,0,kilotonnes
Scotland,Aberdeen City,S12000033,2016,Transport,K Road Transport Minor Roads,150.93769287513044,kilotonnes
Scotland,Aberdeen City,S12000033,2016,Transport,L Diesel Railways,1.9491696734823942,kilotonnes
Scotland,Aberdeen City,S12000033,2016,Transport,M Transport Other,25.306322257240428,kilotonnes
Scotland,Aberdeen City,S12000033,2016,LULUCF,N Lulucf Net Emissions Forest,-17.142022474855132,kilotonnes
Scotland,Aberdeen City,S12000033,2016,LULUCF,O Lulucf Net Emissions Cropland,30.352377214145957,kilotonnes
Scotland,Aberdeen City,S12000033,2016,LULUCF,P Lulucf Net Emissions Grassland,-20.616666821797267,kilotonnes
Scotland,Aberdeen City,S12000033,2016,LULUCF,Q Lulucf Net Emissions Wetlands,0,kilotonnes
Scotland,Aberdeen City,S12000033,2016,LULUCF,R Lulucf Net Emissions Settlements,8.14920099100289,kilotonnes
Scotland,Aberdeen City,S12000033,2016,LULUCF,S Lulucf Net Emissions Harvested Wood Products,0,kilotonnes
Scotland,Aberdeen City,S12000033,2017,Industry and Commercial,A Industry And Commercial Electricity,185.01721140928885,kilotonnes
Scotland,Aberdeen City,S12000033,2017,Industry and Commercial,B Industry And Commercial Gas,182.68967521131148,kilotonnes
Scotland,Aberdeen City,S12000033,2017,Industry and Commercial,C Large Industrial Installations,82.97128317068346,kilotonnes
Scotland,Aberdeen City,S12000033,2017,Industry and Commercial,D Industrial And Commercial Other Fuels,101.54293977420716,kilotonnes
Scotland,Aberdeen City,S12000033,2017,Industry and Commercial,E Agriculture,5.428987891775475,kilotonnes
Scotland,Aberdeen City,S12000033,2017,Domestic,F Domestic Electricity,99.05140254738458,kilotonnes
Scotland,Aberdeen City,S12000033,2017,Domestic,G Domestic Gas,247.0963372196249,kilotonnes
Scotland,Aberdeen City,S12000033,2017,Domestic,H Domestic Other Fuels,6.957217291524254,kilotonnes
Scotland,Aberdeen City,S12000033,2017,Transport,I Road Transport A Roads,144.58090929916114,kilotonnes
Scotland,Aberdeen City,S12000033,2017,Transport,J Road Transport Motorways,0,kilotonnes
Scotland,Aberdeen City,S12000033,2017,Transport,K Road Transport Minor Roads,153.88307991836805,kilotonnes
Scotland,Aberdeen City,S12000033,2017,Transport,L Diesel Railways,1.9330433842273191,kilotonnes
Scotland,Aberdeen City,S12000033,2017,Transport,M Transport Other,26.13602259220779,kilotonnes
Scotland,Aberdeen City,S12000033,2017,LULUCF,N Lulucf Net Emissions Forest,-17.25091869552931,kilotonnes
Scotland,Aberdeen City,S12000033,2017,LULUCF,O Lulucf Net Emissions Cropland,29.823546467373465,kilotonnes
Scotland,Aberdeen City,S12000033,2017,LULUCF,P Lulucf Net Emissions Grassland,-20.994992848735052,kilotonnes
Scotland,Aberdeen City,S12000033,2017,LULUCF,Q Lulucf Net Emissions Wetlands,0,kilotonnes
Scotland,Aberdeen City,S12000033,2017,LULUCF,R Lulucf Net Emissions Settlements,8.119203642904962,kilotonnes
Scotland,Aberdeen City,S12000033,2017,LULUCF,S Lulucf Net Emissions Harvested Wood Products,0,kilotonnes
Scotland,Aberdeen City,S12000033,2018,Industry and Commercial,A Industry And Commercial Electricity,174.58449188488927,kilotonnes
Scotland,Aberdeen City,S12000033,2018,Industry and Commercial,B Industry And Commercial Gas,184.21708047844646,kilotonnes
Scotland,Aberdeen City,S12000033,2018,Industry and Commercial,C Large Industrial Installations,75.30358307887673,kilotonnes
